DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,TVIA,TIPOACCIDENTE,SALDOTRAG,MEDIOTRANS,VEHICHOQUE,VEHICUVOLC,VEHICUATRO,VEHICAIDA,VEHIDESLI,ESTRECON,APLASTAM
1,1,2007,10,5,17,3,1,1,2,2, , , , , , 
1,1,2007,10,1,18,3,1,1,2,2, , , , , , 
1,1,2007,4,2,28,1,1,1,2,8, , , , , , 
1,1,2007,8,1,18,3,1,1,6,4, , , , , , 
1,1,2007,11,9,23,4,3,1,25,26, ,1, , , , 
1,1,2007,2,9,30,4,3,1,25,26, ,1, , , , 
1,1,2007,11,10,32,1,3,1,25,26, ,1, , , , 
1,1,2007,4,10,32,2,3,1,25,26, ,1, , , , 
1,1,2007,11,10,32,4,3,1,25,26, ,1, , , , 
1,1,2007,10,10,32,1,3,1,25,26, ,6, , , , 
1,1,2007,6,5,2,4,3,2,25,26, ,8, , , , 
1,1,2007,1,5,2,4,3,1,25,26, ,99, , , , 
1,1,2007,3,6,3,4,5,1,2,26, , , ,2, , 
1,1,2007,6,3,6,4,5,2,2,26, , , ,2, , 
1,1,2007,3,3,6,4,5,1,2,26, , , ,2, , 
1,1,2007,1,8,11,3,5,1,2,26, , , ,2, , 
1,1,2007,6,7,22,3,5,1,2,26, , , ,2, , 
1,1,2007,11,4,5,4,6,1,2,26, , , , ,99, 
1,1,2007,6,3,20,3,6,1,2,26, , , , ,99, 
2,1,2007,2,1,18,4,1,1,2,6, , , , , , 
2,1,2007,10,5,2,1,3,1,25,26, ,99, , , , 
3,1,2007,10,6,4,4,1,1,2,2, , , , , , 
3,1,2007,11,3,6,2,3,1,25,26, ,99, , , , 
3,1,2007,6,10,32,1,4,1,2,26, , ,2, , , 
4,1,2007,12,2,13,1,1,1,4,4, , , , , , 
4,1,2007,6,1,18,4,2,1,4,26,4, , , , , 
4,1,2007,6,10,32,1,3,1,25,26, ,1, , , , 
4,1,2007,4,1,25,4,3,1,25,26, ,2, , , , 
4,1,2007,5,10,32,1,3,1,25,26, ,5, , , , 
4,1,2007,5,6,4,4,3,1,25,26, ,99, , , , 
7,1,2007,4,9,23,4,6,1,2,26, , , , ,99, 
5,1,2007,3,10,32,2,1,1,2,1, , , , , , 
5,1,2007,5,6,16,3,3,1,25,26, ,4, , , , 
5,1,2007,4,10,1,2,3,1,25,26, ,99, , , , 
6,1,2007,5,10,32,2,1,1,2,1, , , , , , 
6,1,2007,5,5,2,3,1,1,2,4, , , , , , 
6,1,2007,6,1,25,2,1,1,2,4, , , , , , 
6,1,2007,2,1,25,3,3,1,25,26, ,4, , , , 
7,1,2007,9,5,21,4,1,1,2,1, , , , , , 
7,1,2007,5,10,32,1,1,1,2,1, , , , , , 
7,1,2007,5,6,4,4,1,1,2,2, , , , , , 
7,1,2007,9,8,11,1,1,1,2,2, , , , , , 
7,1,2007,11,3,20,3,1,1,2,2, , , , , , 
7,1,2007,10,9,23,3,1,1,2,2, , , , , , 
7,1,2007,5,2,28,1,1,1,2,2, , , , , , 
7,1,2007,3,6,4,4,3,1,25,26, ,99, , , , 
1,1,2007,4,9,23,4,1,1,2,1, , , , , , 
1,1,2007,5,9,23,3,1,1,2,2, , , , , , 
1,1,2007,5,10,32,3,6,1,2,26, , , , ,99, 
2,1,2007,7,1,18,4,1,1,2,1, , , , , , 
2,1,2007,6,5,2,1,1,1,4,99, , , , , , 
2,1,2007,11,5,21,3,3,1,25,26, ,1, , , , 
2,1,2007,4,2,13,3,3,1,25,26, ,4, , , , 
2,1,2007,10,2,28,1,3,1,25,26, ,5, , , , 
3,1,2007,12,10,32,2,3,1,25,26, ,99, , , , 
4,1,2007,5,9,23,4,1,1,1,1, , , , , , 
