CAUSA_M,DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,LUGAROCU,SEXO,GRUPOEDAD,PARENTESCO,VIOMUJER1,VIOMUJER2,MEDIOEMP,CIRCUNST,TCONFLICTO,CALIHOMICIDIO,SEXOVICTIMARIO,EDADVICTIMARIO,GRUPOEDVIC
X85-Y09,1,1,2007,99,2,13,99,1,3,99,12,13,3,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,4,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,1,99,1,4,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,4,27,99,1,5,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,5,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,1,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,6,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,1,99,1,7,99,12,13,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,5,21,99,1,7,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,7,22,99,1,7,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,1,18,99,1,8,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,2,8,11,11,12,1,99,9,3,1,99,99
X85-Y09,1,1,2007,99,3,6,99,1,9,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,1,25,99,1,9,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,8,11,99,1,14,99,12,13,2,99,9,3,1,99,99
X85-Y09,1,1,2007,99,4,15,99,1,99,99,12,13,3,99,9,3,1,99,99
X85-Y09,1,1,2007,99,10,32,99,1,99,99,12,13,2,99,9,3,1,99,99
X85-Y09,2,1,2007,99,8,8,99,2,5,3,11,12,3,99,9,3,1,99,99
X85-Y09,2,1,2007,99,10,32,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,2,13,99,1,6,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,5,21,99,1,6,99,12,13,2,99,9,3,1,99,99
X85-Y09,2,1,2007,99,10,32,99,1,6,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,10,32,99,1,8,99,12,13,2,99,9,3,1,99,99
X85-Y09,2,1,2007,99,7,22,99,1,8,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,1,18,99,1,14,99,12,13,2,99,9,3,1,99,99
X85-Y09,2,1,2007,99,10,1,99,1,99,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,10,1,99,1,99,99,12,13,1,99,9,3,1,99,99
X85-Y09,2,1,2007,99,5,21,99,2,99,11,11,12,6,99,9,3,1,99,99
X85-Y09,3,1,2007,99,10,32,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,3,1,2007,99,10,32,99,1,7,99,12,13,3,99,9,3,1,99,99
X85-Y09,3,1,2007,99,5,31,99,1,13,99,12,13,3,99,9,3,1,99,99
X85-Y09,3,1,2007,99,10,1,99,1,99,99,12,13,1,99,9,3,1,99,99
X85-Y09,3,1,2007,99,8,12,99,1,99,99,12,13,1,99,9,3,1,99,99
X85-Y09,4,1,2007,99,4,27,99,1,5,99,12,13,2,99,9,3,1,99,99
X85-Y09,4,1,2007,99,10,32,99,1,8,99,12,13,1,99,9,3,1,99,99
X85-Y09,5,1,2007,99,10,1,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,5,1,2007,99,7,22,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,5,1,2007,99,10,32,99,1,5,99,12,13,1,99,9,3,1,99,99
X85-Y09,5,1,2007,99,10,1,99,1,6,99,12,13,2,99,9,3,1,99,99
X85-Y09,5,1,2007,99,6,3,99,1,8,99,12,13,3,99,9,3,1,99,99
X85-Y09,5,1,2007,99,3,6,99,1,8,99,12,13,1,99,9,3,1,99,99
X85-Y09,6,1,2007,99,1,9,99,1,5,99,12,13,1,99,9,3,1,99,99
